feature,GBS_MSE,GBS_MAE,GBS_RMSE,GBS_MAPE,Standard_MSE,Standard_MAE,Standard_RMSE,Standard_MAPE
p (mbar),139.08286,11.6622925,11.79334,1.1921158,244.94084,15.56506,15.650586,1.5910672
T (degC),0.48156518,0.5995209,0.693949,26.990873,1.4492052,1.1539488,1.2038294,51.84906
Tpot (K),0.47298563,0.5592365,0.6877395,0.20177124,0.51334476,0.6143036,0.7164808,0.2216859
Tdew (degC),0.46278605,0.5513212,0.6802838,65.9547,0.36340296,0.46952072,0.60282916,59.290546
rh (%),63.844654,7.3399854,7.990285,9.170088,34.938778,5.669391,5.9109035,7.1134553
VPmax (mbar),0.19627693,0.38254654,0.44303152,5.3345017,0.50973964,0.6902317,0.7139605,9.624029
VPact (mbar),0.10667153,0.2739745,0.32660607,4.7889686,0.045687817,0.16887656,0.21374708,2.9496188
VPdef (mbar),0.3533224,0.51791906,0.5944093,36.621506,0.67113996,0.7883358,0.81923133,54.50837
sh (g/kg),0.05426526,0.17973801,0.23294905,4.910404,0.035451923,0.16351868,0.18828681,4.4927044
H2OC (mmol/mol),0.09611838,0.2652633,0.31002966,4.5235643,0.110271364,0.26921737,0.33207133,4.584791
rho (g/m**3),103.89801,9.242134,10.193037,0.74856436,286.51965,16.437714,16.926891,1.3312404
wv (m/s),2.0768993,1.2784412,1.4411452,176.01814,1.9884361,1.3063514,1.4101192,164.22617
max. wv (m/s),10.001064,3.017663,3.162446,221.9517,10.425557,3.170496,3.2288632,221.51431
wd (deg),477.93536,15.874049,21.861732,7.680762,322.5598,13.51391,17.95995,6.742385
rain (mm),0.010746151,0.08489244,0.103663646,848924400.0,0.0042605256,0.05166717,0.065272704,516671700.0
raining (s),407.617,17.025745,20.189528,170257470000.0,279.4407,13.751457,16.71648,137514570000.0
SWDR (W/m2),7460.3643,84.050995,86.3734,840509950000.0,4533.9297,65.47948,67.334465,654794800000.0
PAR (2mol/m2/s),29583.27,168.53745,171.99788,1685374400000.0,21294.934,143.99004,145.92784,1439900500000.0
max. PAR (2mol/m2/s),53031.85,226.41861,230.28645,2264186000000.0,28205.223,165.52989,167.9441,1655298900000.0
Tlog (degC),0.1817233,0.32191634,0.42629015,2.3981824,0.5066774,0.6606187,0.71181273,4.924418
OT,51.3321,6.5582676,7.1646423,1.5112357,49.955025,6.8612194,7.067887,1.5825537
